State,Year,Total_Accidents,Persons_Killed,Persons_Injured,Fatality_Rate_pct,Severity_Index,Registered_Vehicles,Accidents_per_10k_vehicles,TwoWheeler_Involved,Car_Involved,Truck_Involved,Bus_Involved,Pedestrian_Involved,Cause_Overspeeding,Cause_Alcohol,Cause_Negligence,Cause_Weather,Cause_Mechanical,Cause_Other,Yearly_Growth_pct,State_Risk_Score,High_Risk_Corridor_Flag
Bihar,2017,62246,1200,23279,1.93,0.432,6556277,94.9411,28010,15561,9336,3112,6227,18673,6224,15561,3112,1867,16809,-4.248707851341371,0.352,Low
Bihar,2018,58039,1890,18361,3.26,0.414,6783559,85.5583,26117,14509,8705,2901,5807,17411,5803,14509,2901,1741,15674,-6.758667223596692,0.318,Low
Bihar,2019,64312,2470,26107,3.84,0.521,7329301,87.7464,28940,16078,9646,3215,6433,19293,6431,16078,3215,1929,17366,10.808249625251975,0.513,Medium
Bihar,2020,63025,1829,18557,2.9,0.381,6379133,98.7987,28361,15756,9453,3151,6304,18907,6302,15756,3151,1890,17019,-2.001181739022262,0.283,Low
Bihar,2021,63050,1184,15296,1.88,0.299,7676428,82.1346,28372,15762,9457,3152,6307,18915,6305,15762,3152,1891,17025,0.03966679888933733,0.164,Low
Bihar,2022,65754,1626,22628,2.47,0.418,7199508,91.3312,29589,16438,9863,3287,6577,19726,6575,16438,3287,1972,17756,4.288659793814431,0.349,Low
Bihar,2023,70863,1964,14874,2.77,0.293,7728823,91.6867,31888,17715,10629,3543,7088,21258,7086,17715,3543,2125,19136,7.769869513641758,0.174,Low
Chandigarh,2010,7343,272,1628,3.7,0.333,2374695,30.9219,3304,1835,1101,367,736,2202,734,1835,367,220,1985,0.0,0.201,Low
Chandigarh,2011,9214,339,2720,3.68,0.406,2274348,40.5127,4146,2303,1382,460,923,2764,921,2303,460,276,2490,25.480049026283535,0.365,Low
Chandigarh,2012,8603,349,3012,4.06,0.472,2318030,37.1134,3871,2150,1290,430,862,2580,860,2150,430,258,2325,-6.631213370957234,0.392,Low
Chandigarh,2013,8585,253,2121,2.95,0.335,2469676,34.7616,3863,2146,1287,429,860,2575,858,2146,429,257,2320,-0.20922933860281212,0.205,Low
Chandigarh,2014,8198,383,2106,4.67,0.397,2602803,31.4968,3689,2049,1229,409,822,2459,819,2049,409,245,2217,-4.507862550960984,0.285,Low
Chandigarh,2015,8520,321,2332,3.77,0.387,2472100,34.4646,3834,2130,1278,426,852,2556,852,2130,426,255,2301,3.927787265186633,0.289,Low
Chandigarh,2016,9187,299,2887,3.25,0.412,2661194,34.5221,4134,2296,1378,459,920,2756,918,2296,459,275,2483,7.828638497652585,0.334,Low
Chandigarh,2017,8554,392,2881,4.58,0.474,2721686,31.429,3849,2138,1283,427,857,2566,855,2138,427,256,2312,-6.89017089365408,0.393,Low
Chandigarh,2018,9361,425,2594,4.54,0.413,2839165,32.971,4212,2340,1404,468,937,2808,936,2340,468,280,2529,9.434182838438154,0.339,Low
Chandigarh,2019,9618,292,3297,3.04,0.434,2939229,32.7229,4328,2404,1442,480,964,2885,961,2404,480,288,2600,2.745433180215784,0.355,Low
Chandigarh,2020,9337,383,2267,4.1,0.366,3352698,27.8492,4201,2334,1400,466,936,2801,933,2334,466,280,2523,-2.92160532335205,0.243,Low
Chandigarh,2021,10577,424,3400,4.01,0.442,3187236,33.1855,4759,2644,1586,528,1060,3173,1057,2644,528,317,2858,13.280496947627718,0.39,Low
Chandigarh,2022,9828,373,2494,3.8,0.368,3289856,29.8736,4422,2457,1474,491,984,2948,982,2457,491,294,2656,-7.081403044341494,0.237,Low
Chandigarh,2023,10616,331,2868,3.12,0.364,3091114,34.3436,4777,2654,1592,530,1063,3184,1061,2654,530,318,2869,8.017908017908027,0.265,Low
Chhattisgarh,2010,47183,973,11363,2.06,0.303,5652510,83.4727,21232,11795,7077,2359,4720,14154,4718,11795,2359,1415,12742,0.0,0.17,Low
Chhattisgarh,2011,46092,1296,13985,2.81,0.388,5600749,82.2961,20741,11523,6913,2304,4611,13827,4609,11523,2304,1382,12447,-2.312273488332661,0.289,Low
Chhattisgarh,2012,52437,1480,13336,2.82,0.339,5784919,90.6443,23596,13109,7865,2621,5246,15731,5243,13109,2621,1573,14160,13.765946368133308,0.254,Low
Chhattisgarh,2013,47520,1946,9524,4.1,0.323,6251798,76.0101,21384,11880,7128,2376,4752,14256,4752,11880,2376,1425,12831,-9.37696664568911,0.177,Low
Chhattisgarh,2014,48222,2062,14351,4.28,0.426,6487199,74.3341,21699,12055,7233,2411,4824,14466,4822,12055,2411,1446,13022,1.4772727272727382,0.351,Low
Chhattisgarh,2015,49643,1954,19022,3.94,0.501,6283837,79.0011,22339,12410,7446,2482,4966,14892,4964,12410,2482,1489,13406,2.9467877732155534,0.465,Medium
Chhattisgarh,2016,51411,1549,19518,3.01,0.47,6580865,78.1219,23134,12852,7711,2570,5144,15423,5141,12852,2570,1542,13883,3.561428600205474,0.42,Medium
Chhattisgarh,2017,50829,1485,14903,2.92,0.381,6653727,76.3918,22873,12707,7624,2541,5084,15248,5082,12707,2541,1524,13727,-1.1320534515959602,0.28,Low
Chhattisgarh,2018,52804,1931,15536,3.66,0.404,7426948,71.0978,23761,13201,7920,2640,5282,15841,5280,13201,2640,1584,14258,3.8855771311652854,0.323,Low
Chhattisgarh,2019,53964,1778,16920,3.29,0.412,8155203,66.1713,24283,13491,8094,2698,5398,16189,5396,13491,2698,1618,14572,2.196803272479353,0.33,Low
Chhattisgarh,2020,53788,2917,12953,5.42,0.404,7620289,70.5852,24204,13447,8068,2689,5380,16136,5378,13447,2689,1613,14525,-0.3261433548291448,0.314,Low
Chhattisgarh,2021,55980,1502,18750,2.68,0.415,7967875,70.2571,25191,13995,8397,2799,5598,16794,5598,13995,2799,1679,15115,4.075258421952843,0.339,Low
Chhattisgarh,2022,56647,796,15804,1.41,0.321,7992892,70.8717,25491,14161,8497,2832,5666,16994,5664,14161,2832,1699,15297,1.191496963201133,0.196,Low
Chhattisgarh,2023,58930,2508,23376,4.26,0.524,8307885,70.9326,26518,14732,8839,2946,5895,17679,5893,14732,2946,1767,15913,4.030222253605653,0.499,Medium
Delhi,2010,15677,848,5496,5.41,0.513,9378820,16.7153,7054,3919,2351,783,1570,4703,1567,3919,783,470,4235,0.0,0.461,Medium
Delhi,2011,15824,780,3688,4.93,0.381,11278102,14.0307,7120,3956,2373,791,1584,4747,1582,3956,791,474,4274,0.9376794029470004,0.269,Low
Delhi,2012,15758,732,5045,4.65,0.46,10860546,14.5094,7091,3939,2363,787,1578,4727,1575,3939,787,472,4258,-0.41708796764408085,0.382,Low
Delhi,2013,16136,541,4741,3.35,0.394,12407734,13.0048,7261,4034,2420,806,1615,4840,1613,4034,806,484,4359,2.398781571265385,0.291,Low
Delhi,2014,15926,717,4537,4.5,0.42,12273169,12.9763,7166,3981,2388,796,1595,4777,1592,3981,796,477,4303,-1.3014377788795217,0.321,Low
Delhi,2015,17067,593,5108,3.47,0.404,13437557,12.701,7680,4266,2560,853,1708,5120,1706,4266,853,512,4610,7.164385281928931,0.316,Low
Delhi,2016,18082,567,6855,3.14,0.473,13089599,13.814,8136,4520,2712,904,1810,5424,1808,4520,904,542,4884,5.947149469736912,0.415,Medium
Delhi,2017,18009,479,4954,2.66,0.355,12841787,14.0237,8104,4502,2701,900,1802,5402,1800,4502,900,540,4865,-0.40371640305275625,0.229,Low
Delhi,2018,18120,749,5768,4.13,0.442,14773775,12.265,8154,4530,2718,906,1812,5436,1812,4530,906,543,4893,0.6163584874229633,0.357,Low
Delhi,2019,17622,637,4156,3.61,0.344,13425628,13.1256,7929,4405,2643,881,1764,5286,1762,4405,881,528,4760,-2.7483443708609223,0.207,Low
Delhi,2020,19837,602,5154,3.03,0.351,12921575,15.3518,8926,4959,2975,991,1986,5951,1983,4959,991,595,5358,12.569515378504148,0.251,Low
Delhi,2021,18381,605,4266,3.29,0.331,14653996,12.5433,8271,4595,2757,919,1839,5514,1838,4595,919,551,4964,-7.339819529162672,0.178,Low
Delhi,2022,20536,573,5192,2.79,0.337,14380254,14.2807,9241,5134,3080,1026,2055,6160,2053,5134,1026,616,5547,11.724062891028787,0.228,Low
Delhi,2023,18790,758,5682,4.03,0.423,16371325,11.4774,8455,4697,2818,939,1881,5637,1879,4697,939,563,5075,-8.502142578885863,0.31,Low
Goa,2010,26613,1177,8792,4.42,0.463,1121521,237.2938,11975,6653,3991,1330,2664,7983,2661,6653,1330,798,7188,0.0,0.441,Medium
Goa,2011,25162,932,8154,3.7,0.435,1131298,222.4171,11322,6290,3774,1258,2518,7548,2516,6290,1258,754,6796,-5.4522225979784285,0.384,Low
Goa,2012,28976,1143,7033,3.94,0.361,1178336,245.9061,13039,7244,4346,1448,2899,8692,2897,7244,1448,869,7826,15.157777601144584,0.326,Low
Goa,2013,26573,744,7415,2.8,0.363,1176922,225.7839,11957,6643,3985,1328,2660,7971,2657,6643,1328,797,7177,-8.293070127001656,0.274,Low
Goa,2014,26186,1208,6342,4.61,0.381,1318508,198.6033,11783,6546,3927,1309,2621,7855,2618,6546,1309,785,7073,-1.4563654837617124,0.308,Low
Goa,2015,27401,1310,8181,4.78,0.442,1153282,237.5915,12330,6850,4110,1370,2741,8220,2740,6850,1370,822,7399,4.639883907431441,0.42,Medium
Goa,2016,28116,1357,9065,4.83,0.467,1295447,217.0371,12652,7029,4217,1405,2813,8434,2811,7029,1405,843,7594,2.609393817743877,0.447,Medium
Goa,2017,26968,1318,10612,4.89,0.54,1452646,185.6474,12135,6742,4045,1348,2698,8090,2696,6742,1348,809,7283,-4.083084364774503,0.532,Medium
Goa,2018,29937,1162,9717,3.88,0.441,1273313,235.1111,13471,7484,4490,1496,2996,8981,2993,7484,1496,898,8085,11.009344408187483,0.431,Medium
Goa,2019,31710,1449,10725,4.57,0.475,1338857,236.8438,14269,7927,4756,1585,3173,9513,3171,7927,1585,951,8563,5.922437117947688,0.471,Medium
Goa,2020,30756,1319,10200,4.29,0.46,1292460,237.9648,13840,7689,4613,1537,3077,9226,3075,7689,1537,922,8307,-3.008514664143802,0.43,Medium
Goa,2021,28985,992,7840,3.42,0.373,1473344,196.7293,13043,7246,4347,1449,2900,8695,2898,7246,1449,869,7828,-5.758226037195991,0.287,Low
Goa,2022,32612,1462,9952,4.48,0.44,1555205,209.6958,14675,8153,4891,1630,3263,9783,3261,8153,1630,978,8807,12.513368983957228,0.427,Medium
Goa,2023,31824,318,11334,1.0,0.386,1742322,182.6528,14320,7956,4773,1591,3184,9547,3182,7956,1591,954,8594,-2.4162884827670816,0.31,Low
Gujarat,2010,52870,1845,10336,3.49,0.3,355049,1489.0902,23791,13217,7930,2643,5289,15861,5287,13217,2643,1586,14276,0.0,0.501,Medium
Gujarat,2011,55342,2381,18301,4.3,0.46,361064,1532.7477,24903,13835,8301,2767,5536,16602,5534,13835,2767,1660,14944,4.675619443919055,0.755,High
Gujarat,2012,56205,2081,18432,3.7,0.439,365313,1538.5437,25292,14051,8430,2810,5622,16861,5620,14051,2810,1686,15177,1.5593943117343079,0.719,High
Gujarat,2013,62423,1886,16653,3.02,0.357,386591,1614.7039,28090,15605,9363,3121,6244,18726,6242,15605,3121,1872,16857,11.063072680366526,0.638,Medium
Gujarat,2014,53690,2722,15295,5.07,0.437,373823,1436.2412,24160,13422,8053,2684,5371,16107,5369,13422,2684,1610,14498,-13.990035724011985,0.658,High
Gujarat,2015,59180,2042,21515,3.45,0.467,400713,1476.8675,26631,14795,8877,2959,5918,17754,5918,14795,2959,1775,15979,10.225367852486489,0.764,High
Gujarat,2016,64107,2300,14598,3.59,0.335,380986,1682.6603,28848,16026,9616,3205,6412,19232,6410,16026,3205,1923,17311,8.32544778641433,0.616,Medium
Gujarat,2017,62743,2483,19041,3.96,0.422,429855,1459.6317,28234,15685,9411,3137,6276,18822,6274,15685,3137,1882,16943,-2.12769276366076,0.668,High
Gujarat,2018,66550,2365,27537,3.55,0.52,430205,1546.9369,29947,16637,9982,3327,6657,19965,6655,16637,3327,1996,17970,6.067609135680474,0.849,High
Gujarat,2019,64968,3482,23389,5.36,0.521,472945,1373.6904,29235,16242,9745,3248,6498,19490,6496,16242,3248,1949,17543,-2.377160030052594,0.791,High
Gujarat,2020,67224,3009,15283,4.48,0.362,462972,1452.0101,30250,16806,10083,3361,6724,20167,6722,16806,3361,2016,18152,3.472478758773545,0.59,Medium
Gujarat,2021,68329,1465,24026,2.14,0.416,416039,1642.3701,30748,17082,10249,3416,6834,20498,6832,17082,3416,2049,18452,1.6437581816018065,0.71,High
Gujarat,2022,64090,2475,21057,3.86,0.444,492151,1302.2426,28840,16022,9613,3204,6411,19227,6409,16022,3204,1922,17306,-6.203808046363912,0.653,High
Gujarat,2023,73646,3665,24672,4.98,0.484,478123,1540.3149,33140,18411,11046,3682,7367,22093,7364,18411,3682,2209,19887,14.910282415353414,0.814,High
Haryana,2010,24218,734,5190,3.03,0.305,3208251,75.4866,10898,6054,3632,1210,2424,7265,2421,6054,1210,726,6542,0.0,0.171,Low
Haryana,2011,23065,1092,5080,4.73,0.362,3021429,76.3381,10379,5766,3459,1153,2308,6919,2306,5766,1153,691,6230,-4.76092162854076,0.244,Low
Haryana,2012,23736,841,6586,3.54,0.384,3325134,71.3836,10681,5934,3560,1186,2375,7120,2373,5934,1186,712,6411,2.9091697376978143,0.292,Low
Haryana,2013,22868,767,6997,3.35,0.407,3420415,66.8574,10290,5717,3430,1143,2288,6860,2286,5717,1143,686,6176,-3.656892483990559,0.31,Low
Haryana,2014,25679,609,5733,2.37,0.294,3664628,70.0726,11555,6419,3851,1283,2571,7703,2567,6419,1283,770,6937,12.292286164072074,0.18,Low
Haryana,2015,25705,707,9705,2.75,0.46,3575067,71.9008,11567,6426,3855,1285,2572,7711,2570,6426,1285,771,6942,0.10125004867791443,0.397,Low
Haryana,2016,27313,974,11008,3.57,0.51,3986059,68.5213,12290,6828,4096,1365,2734,8193,2731,6828,1365,819,7377,6.2555922972184375,0.482,Medium
Haryana,2017,25987,1162,8634,4.47,0.466,4032661,64.4413,11694,6496,3898,1299,2600,7796,2598,6496,1299,779,7019,-4.8548310328415,0.393,Low
Haryana,2018,25580,1070,9027,4.18,0.478,3542734,72.2041,11511,6395,3837,1279,2558,7674,2558,6395,1279,767,6907,-1.5661676992342333,0.42,Medium
Haryana,2019,25814,377,7396,1.46,0.33,4137543,62.3897,11616,6453,3872,1290,2583,7744,2581,6453,1290,774,6972,0.9147771696637941,0.206,Low
Haryana,2020,29793,1064,11363,3.57,0.489,3820966,77.9724,13406,7448,4468,1489,2982,8937,2979,7448,1489,893,8047,15.414116370961484,0.473,Medium
Haryana,2021,26175,901,8355,3.44,0.422,4207219,62.2145,11778,6543,3926,1308,2620,7852,2617,6543,1308,785,7070,-12.143792165945023,0.313,Low
Haryana,2022,26221,894,6156,3.41,0.337,4468826,58.6754,11799,6555,3933,1311,2623,7866,2622,6555,1311,786,7081,0.17574021012416452,0.214,Low
Haryana,2023,29876,764,8195,2.56,0.351,4199148,71.1478,13444,7469,4481,1493,2989,8962,2987,7469,1493,896,8069,13.939209030929401,0.267,Low
Himachal Pradesh,2010,30390,919,7877,3.02,0.35,1714014,177.3031,13675,7597,4558,1519,3041,9117,3039,7597,1519,911,8207,0.0,0.261,Low
Himachal Pradesh,2011,29349,971,8889,3.31,0.402,1619185,181.2579,13207,7337,4402,1467,2936,8804,2934,7337,1467,880,7927,-3.4254689042448216,0.331,Low
Himachal Pradesh,2012,32418,1148,10559,3.54,0.432,2006300,161.581,14588,8104,4862,1620,3244,9725,3241,8104,1620,972,8756,10.456915056731052,0.399,Low
Himachal Pradesh,2013,34816,1002,9162,2.88,0.349,2013533,172.91,15667,8704,5222,1740,3483,10444,3481,8704,1740,1044,9403,7.397125053982356,0.274,Low
Himachal Pradesh,2014,33047,750,13837,2.27,0.487,1989940,166.0703,14871,8261,4957,1652,3306,9914,3304,8261,1652,991,8925,-5.080997242647056,0.448,Medium
Himachal Pradesh,2015,33615,439,11515,1.31,0.382,1982821,169.5312,15126,8403,5042,1680,3364,10084,3361,8403,1680,1008,9079,1.718764184343513,0.31,Low
Himachal Pradesh,2016,35484,1585,8920,4.47,0.385,2158912,164.3606,15967,8871,5322,1774,3550,10645,3548,8871,1774,1064,9582,5.560017849174481,0.321,Low
Himachal Pradesh,2017,38842,405,10078,1.04,0.291,2114705,183.6757,17478,9710,5826,1942,3886,11652,3884,9710,1942,1165,10489,9.463420133017708,0.196,Low
Himachal Pradesh,2018,36520,1260,9018,3.45,0.35,2204810,165.6379,16434,9130,5478,1826,3652,10956,3652,9130,1826,1095,9861,-5.978064981205911,0.245,Low
Himachal Pradesh,2019,36190,1139,11251,3.15,0.405,2450613,147.6773,16285,9047,5428,1809,3621,10857,3619,9047,1809,1085,9773,-0.9036144578313254,0.332,Low
Himachal Pradesh,2020,40138,1667,10287,4.15,0.381,2408014,166.6851,18062,10034,6020,2006,4016,12041,4013,10034,2006,1204,10840,10.909090909090914,0.327,Low
Himachal Pradesh,2021,43183,1949,12003,4.51,0.413,2668534,161.8229,19432,10795,6477,2159,4320,12954,4318,10795,2159,1295,11662,7.586327171259155,0.366,Low
Himachal Pradesh,2022,38998,1104,14420,2.83,0.455,2371275,164.46,17549,9749,5849,1949,3902,11699,3899,9749,1949,1169,10533,-9.691313711414217,0.391,Low
Himachal Pradesh,2023,37004,1643,11152,4.44,0.435,2618513,141.3168,16651,9251,5550,1850,3702,11101,3700,9251,1850,1110,9992,-5.113082722190887,0.366,Low
Jharkhand,2010,51505,1154,18512,2.24,0.427,936788,549.8042,23177,12876,7725,2575,5152,15451,5150,12876,2575,1545,13908,0.0,0.462,Medium
Jharkhand,2011,55118,2429,16511,4.41,0.432,995033,553.9314,24803,13779,8267,2755,5514,16535,5511,13779,2755,1653,14885,7.014852926900295,0.486,Medium
Jharkhand,2012,58277,2369,18316,4.07,0.436,1097230,531.1284,26224,14569,8741,2913,5830,17483,5827,14569,2913,1748,15737,5.731340034108645,0.483,Medium
Jharkhand,2013,60783,2075,15470,3.41,0.357,1075022,565.4117,27352,15195,9117,3039,6080,18234,6078,15195,3039,1823,16414,4.300152718911399,0.373,Low
Jharkhand,2014,58884,3067,20572,5.21,0.506,1117219,527.0587,26497,14721,8832,2944,5890,17665,5888,14721,2944,1766,15900,-3.124228813977592,0.566,Medium
Jharkhand,2015,59482,1560,17255,2.62,0.369,1136919,523.1859,26766,14870,8922,2974,5950,17844,5948,14870,2974,1784,16062,1.015556008423335,0.373,Low
Jharkhand,2016,55410,2627,22349,4.74,0.546,1033461,536.1596,24934,13852,8311,2770,5543,16623,5541,13852,2770,1662,14962,-6.845768467771762,0.618,Medium
Jharkhand,2017,57622,2149,15608,3.73,0.383,1194514,482.3887,25929,14405,8643,2881,5764,17286,5762,14405,2881,1728,15560,3.9920591950911355,0.391,Low
Jharkhand,2018,62864,1556,22908,2.48,0.439,1241660,506.29,28288,15716,9429,3143,6288,18859,6286,15716,3143,1885,16975,9.09721981187741,0.489,Medium
Jharkhand,2019,62597,3132,17187,5.0,0.425,1170340,534.8617,28168,15649,9389,3129,6262,18779,6259,15649,3129,1877,16904,-0.4247263934843426,0.455,Medium
